Issue Type,Epic Name,Epic Link,Summary,Description,Story Points,Sprint,Component,Priority,Labels
Epic,Fundaciones técnicas e infraestructura base,,Fundaciones técnicas e infraestructura base,"Base técnica del proyecto: monorepo, esqueletos de backend/frontend, docker-compose y CI. Sin dependencias previas. Total estimado: 5 pts / 40h.",,Sprint 1,Transversal,Highest,mvp;transversal
Story,,Fundaciones técnicas e infraestructura base,Monorepo y estructura de carpetas (backend/frontend/infra),"Criterio de aceptación: Repo con carpetas separadas, README de arranque local. (8h estimadas)",1,Sprint 1,Transversal,Highest,mvp;transversal
Story,,Fundaciones técnicas e infraestructura base,"Esqueleto NestJS por capas (módulos, config, health check)",Criterio de aceptación: GET /health responde 200; estructura de módulos por dominio lista. (8h estimadas),1,Sprint 1,Transversal,Highest,mvp;transversal
Story,,Fundaciones técnicas e infraestructura base,Esqueleto Vue + Tailwind con tokens de marca,"Criterio de aceptación: Colores/tipografías (Fraunces o Poppins, Inter, IBM Plex Mono) disponibles como tokens reutilizables. (8h estimadas)",1,Sprint 1,Transversal,Highest,mvp;transversal
Story,,Fundaciones técnicas e infraestructura base,"docker-compose base (Postgres, Redis, backend, frontend, nginx)",Criterio de aceptación: docker compose up levanta los 5 servicios sin error. (8h estimadas),1,Sprint 1,Transversal,Highest,mvp;transversal
Story,,Fundaciones técnicas e infraestructura base,"Pipeline CI (lint, test, build)",Criterio de aceptación: CI corre en cada PR y bloquea merge si falla. (8h estimadas),1,Sprint 1,Transversal,Highest,mvp;transversal
Epic,"Autenticación, usuarios y permisos",,"Autenticación, usuarios y permisos","Login, JWT, RBAC y auditoría base. Depende de E1. Bloquea a todas las épicas siguientes. Total estimado: 13 pts / 80h.",,Sprint 2,Transversal,Highest,mvp;transversal
Story,,"Autenticación, usuarios y permisos",Login con JWT access+refresh y rotación,Criterio de aceptación: Login válido devuelve access+refresh; refresh rota el token; token expirado rechaza requests. (20h estimadas),3,Sprint 2,Transversal,Highest,mvp;transversal
Story,,"Autenticación, usuarios y permisos",RBAC: roles Coach/Coachee/Empresa con guards por endpoint,Criterio de aceptación: Cada endpoint rechaza (403) a roles no autorizados. (20h estimadas),3,Sprint 2,Transversal,Highest,mvp;transversal
Story,,"Autenticación, usuarios y permisos",Alta de cuenta por el coach (sin email real),Criterio de aceptación: El coach genera una credencial temporal visible en pantalla para compartir manualmente. (10h estimadas),2,Sprint 2,Transversal,High,mvp;transversal
